Child Count: 19
Object Name: Building_Bakery (1)
Position: (106.44, 39.99, 163.10)
Rotation: (0.00, 90.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (2)
Position: (90.40, 39.99, 145.90)
Rotation: (0.00, 180.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (3)
Position: (72.90, 39.99, 145.90)
Rotation: (0.00, 180.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (4)
Position: (8.80, 39.99, 145.90)
Rotation: (0.00, 180.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (5)
Position: (30.54, 39.99, 145.90)
Rotation: (0.00, 180.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Vehicle_Truck_separate
Position: (59.83, 39.99, 135.00)
Rotation: (0.00, 90.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Vehicle_Car
Position: (126.75, 39.99, 251.20)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery
Position: (106.44, 39.99, 180.22)
Rotation: (0.00, 90.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Factory
Position: (110.10, 39.99, 239.70)
Rotation: (0.00, 180.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (6)
Position: (140.94, 39.99, 155.28)
Rotation: (0.00, 270.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (7)
Position: (140.94, 39.99, 136.08)
Rotation: (0.00, 270.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (9)
Position: (106.14, 39.99, 118.28)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (10)
Position: (57.54, 39.99, 118.28)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (11)
Position: (31.64, 39.99, 118.28)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (12)
Position: (9.04, 39.99, 118.28)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (13)
Position: (128.54, 39.99, 118.28)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (8)
Position: (140.94, 39.99, 221.68)
Rotation: (0.00, 270.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (14)
Position: (140.94, 39.99, 200.08)
Rotation: (0.00, 270.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Building_Bakery (16)
Position: (140.94, 39.99, 244.88)
Rotation: (0.00, 270.00, 0.00)
Scale: (1.00, 1.00, 1.00)

